"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 8","typography_body-m__xgxZ_ 9","typography_body-m__xgxZ_ 10"
"CH","https://uk.trustpilot.com/users/5b35d7094de5666d3499d8ae","Charlie","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 Aug 2020","https://uk.trustpilot.com/reviews/5f47dd7b02e85708c8da3d53","Very biased service","Very biased service, always goes in favour of the company as they are paying for the service and expect the resolution to go in their favour, even when they have been fraudulent in their actions and there is overwhelming evidence to prove so. Whilst the case was under the ombudsman, the company in question was allowed to harass me as they pleased also. The mobile phone company in question stole nearly £1000 from 2 separate bank accounts, even when I had no contracts with them at all, and this was deemed acceptable by the ombudsman. I feel I was not given a fair try and even when I escalated the case, the same person looked at it. This is obviously not going to produce a different resolution so it makes no sense. Very disappointed with the service provided. I have looked at other reviews of this service on this website and seen the generic response to all the bad comments left which doesn't bode well either. Try your luck but remember, they aren't going to bite the hand that feeds them!","27 August 2020","Reply from Energy Ombudsman","1 Sept 2020","Hello, thank you for your review. We base our decision by looking at the evidence submitted by both parties. You can find out more information via our website: https://www.ombudsman-services.org/ . Thanks."
"MR","https://uk.trustpilot.com/users/5bdc5db554f4b859b9a40d4d","Mr.Hassan","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","27 Aug 2020","https://uk.trustpilot.com/reviews/5f47b98f02e85708c8da1666","Switching Energy Issues from BulbEnergy to BGAS","I switched from Bulb to BGAS but my account with Bulb was never closed and the direct debit was still being taken for nearly a year. Bulb was refusing to refund the amount until BGas provided them with the relevant report. Bgas were not responding. The ombudsmen services successfully helped resolve the issue.","27 August 2020","Reply from Energy Ombudsman","1 Sept 2020","Hello, thank you for your review on our service. We're glad we could help resolve your complaint. Thanks."
"BA","https://uk.trustpilot.com/users/5f467a743c80faffe95d6d0b","Big Al","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","26 Aug 2020","https://uk.trustpilot.com/reviews/5f4683bb02e8570814f97ef2","Stay Clear","Over 3 years I have had recourse to contact the energy ombudsman 3 times regarding an certain energy company. As I have now finally left that company and  settled on an agreed final bill I will not jeopardise that outcome after what has been a long frustrating period with no thanks or help from the ombudsman.  The   conclusions of the ombudsman on the first 2 complaints were mostly biased towards the company but there was the odd proviso which together with the company I agreed too but which the company then promptly ignored. No consideration on subsequent complaints is given to prior provisos. On the 3rd complaint which was posted 6 months after the previous they didn't even bother to read it as I received a message quoting the previous complaint & telling me it was now closed. Being in my mid seventies the experience with the energy company was bad enough but then it was compounded by this dreadful ombudsman service. Be advised, Stay Clear","26 August 2020","Reply from Energy Ombudsman","1 Sept 2020","Hello, we're sorry you have had a bad experience. If you believe we have made a genuine mistake  you can choose to appeal your complaint. You can find out more information via our website: https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"YO","https://uk.trustpilot.com/users/59897a530000ff000ab8c2fc","Yousef","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 Aug 2020","https://uk.trustpilot.com/reviews/5f4514f302e8570814f88e1c","Not as effecient as I thought.","I had a disbute with Scottish power and I tought the Ombudsman would help me. I spent months and gave the ombudsman what they asked for. At the end nothing schanged and I had to go back to scottish power and make an arrangement with them to pay them for their mistakes.","25 August 2020","Reply from Energy Ombudsman","26 Aug 2020","Hello, we're sorry you have had a bad experience. We base our decision  on the evidence submitted by both parties to come to a fair conclusion. If you are unhappy with our service you can give us feedback via our website: https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"GT","https://uk.trustpilot.com/users/57a993930000ff000a3915ad","Ginger Tom","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","24 Aug 2020","https://uk.trustpilot.com/reviews/5f43a45202e85708c8d783d2","Identified the issues but slow & low penalty for the abysmal Tonik","OS Made a good job of identifying the problems in my case against Tonik Energy, who had stopped replying to emails or accepting my phone calls while not refunding the credit on my account. My criticism is they took far too long to reach their conclusions and the remedy imposed on the abysmal Tonik Energy is so low that I guess they don’t really care if dissatisfied customers go to the Ombudsman or not.","24 August 2020","Reply from Energy Ombudsman","25 Aug 2020","Hello, thank you for your review on our service. We're happy we could help you with your complaint. We would appreciate feedback on your experience  with us to help improve our service for the future: https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"LG","https://uk.trustpilot.com/users/548c11b300006400019d3650","LG","50 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 25 Aug 2020","https://uk.trustpilot.com/reviews/5f4399d102e85708c8d77a26","Bias, dishonest and send a standard reply to these reviews without reading them.","Bias and dishonest.Despite having clear evidence I cancelled a contract with 02, my complaint was not upheld and my credit file remains adversely affected. I appealed and tore apart the wholly inadequate findings of the investigating officer and guess what, he dealt with the appeal himself and upheld his original decision - scandalous is too kind a word. Don't waste your time with them.To demonstrate how poor their service is, the Ombudsman sent a reply to this review saying they are sorry to hear I am unhappy with the service and that I can appeal the outcome. My comment clearly stated I had appealed and the investigator dealt with the appeal against his own decision. Clearly just a standard reply by a poor organisation. They claim to hear both sides of the story and reach a balanced decision - they don't, they are bias towards the company the complaint relates to and are a waste of time!","24 August 2020","Reply from Energy Ombudsman","25 Aug 2020","Hello, we're sorry you have had a bad experience. We base our decision on the evidence submitted by both parties to come to a fair conclusion. If you believe we have made a genuine mistake you are able to appeal your case. You can find out more information here:  https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"LH","https://uk.trustpilot.com/users/5f40d92a2c7daf294c3bc40c","Leisa Huxley","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","22 Aug 2020","https://uk.trustpilot.com/reviews/5f40d95202e85708c8d65818","Extremely helpful and professional","Extremely helpful and professional from the 1st phonecall through to resolving the issue and providing a remedy.Would definitely recommend.Thankyou.","22 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, thank you for your review.  We're happy we could help. Thanks."
"CU","https://uk.trustpilot.com/users/5b71c18b4de5666d341e7955","Customer","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","20 Aug 2020","https://uk.trustpilot.com/reviews/5f3eaff102e8570814f5597c","My dealings with the ombudsman was an…","My dealings with the ombudsman was an absolute pleasure. I had the privilege to be dealt with by polite, professional and intelligent series of staff who delivered a true and fair result. Efficiently noting  all detail and very perceptive. Corporate flannel does not work on these people.Many thanks","20 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, thank you for your review on our service. We're happy we could help you resolve your complaint. Thanks."
"NG","https://uk.trustpilot.com/users/5f3e39b055a90c381aea3ab2","Nicholas Goulder","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","20 Aug 2020","https://uk.trustpilot.com/reviews/5f3e39c702e8570814f4ec65","Failure","I reported experience of serial abuse by heavy-selling telephonists. The Ombudsman completely failed to recognise the problem.","20 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, we're sorry you are unhappy with our service.  You can give us more feedback on your experience via our website: https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"","https://uk.trustpilot.com/users/5f3e38b5df4cc61a5fb2a351","Martin Liggett","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","20 Aug 2020","https://uk.trustpilot.com/reviews/5f3e38bb02e85708c8d4caba","Scottish power owed me £277 when I…","Scottish power owed me £277 when I changed provider, after 7 months of many calls and emails I contacted the Ombudsman, SP quickly contacted me offering to send me a cheque, an apology letter and a gift of £100, I accepted this however 6 weeks on I have still not received anything, contacted the Ombudsman who are unable to do anything as I accepted SP's offer. There should be some type of system in place where the ombudsman can follow up the complaint.","20 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, we're sorry you are unhappy with our service. As you have accepted the offer we are unable to assist further  with your complaint as it has been resolved. You can find out more information via our website: https://www.ombudsman-services.org/ . Thanks."
"MA","https://uk.trustpilot.com/users/54fc3e440000ff0001afd75d","Mr Angelo Calabro","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","Updated 19 Aug 2020","https://uk.trustpilot.com/reviews/5f3dadf702e85708c8d49f12","I had a lengthy episode with OVO…","I had a lengthy episode with OVO Energy, I'm going to cut this very short though: the latter took over from my former electricity supplier (who went bust) and despite my continuous contact attempts, they failed to communicate with me over an overdue balance which I was not aware of, they passed my details onto their collection department which kept harassing me incessantly for months on end even after I had paid the outstanding balance, the Ombudsman Services managed to sort it all out for me although they seemed to be particularly clement towards OVO who got away with a very mild retribution.","19 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, thank you for your review. We're happy we could help resolve your complaint. We base our decision on the evidence submitted by both parties. You can find out more information via our website: https://www.ombudsman-services.org/ . Thanks."
"CU","https://uk.trustpilot.com/users/5f3d89b0d023cff5057755b7","Curtis","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 Aug 2020","https://uk.trustpilot.com/reviews/5f3d8a6002e8570814f4afc3","Wish I had seen these reviews earlier","Wish I had seen these reviews earlier. I had a similar experience as a lot of other people on here. Scottish Power (SP) have been bullying myself and my partner for the past 12 months, trying to get us to pay an energy bill that isn't ours (Someone else's meter on the bill). Although the Ombudsman did side with us, SP have completely ignored the requirements set out by the Ombudsman and put a credit default against our names.  They've now handed the debt over to a debt collection agency for the 2nd time. This in turn has had a detrimental effect on us applying for a mortgage and trying to buy a house. Anyway, SP said they had done everything that had been asked of them (Of the 6 action points required of them it looks like may have done 1 of them, maybe) and the Ombudsman took their word for it and closed the case (Honestly, it's incredible injustices like this actually go on in the world). The energy Ombudsman people are nice enough but their organisation is in the pockets of the energy providers and as such, what they say and what they do is completely disregarded. Do yourself a favour, just pay the bills (Obviously not if there's £000s involved) as th energy companies literally have to answer only to themselves . . . . If I could go back and pay the incorrect bill, I would. We're now about 50 hours in, a lot of stress, a bad credit score, probably unable to get a mortgage and the Ombudsman offered us £150 as a gesture of goodwill (Incredible really . . . )","19 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, we're sorry you have had a bad experience. We base our decision on the  evidence submitted by both parties. If you are unhappy with our service you can give us feedback on your experience via our website: https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"SB","https://uk.trustpilot.com/users/5c97c2d79fbdf9cbce23be0e","Sarah Barker","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 Aug 2020","https://uk.trustpilot.com/reviews/5f3ce6eb02e8570814f41839","Not worth going to the ombudsman","Not worth going to the ombudsman. Even though they ruled in my favour, compensation was minimal. I had to stay with Scottish power whom my complaint was with and pay way over the odds to them during ombudsman process. It would have cost less to just leave than go to the ombudsman.","19 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, we're sorry you are unhappy with our service. We would appreciate feedback on your experience with us https://www.ombudsman-services.org/unhappy-with-our-service . Thanks"
"","https://uk.trustpilot.com/users/5cf2258e0d0a0c97b3ba1da2","Benedicta Lawson","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","18 Aug 2020","https://uk.trustpilot.com/reviews/5f3bd59302e85708c8d3595c","E.ON has to be the worst of big 6!","E.ON has to be the worst of big 6!When I switched to a smaller company I provided readings for my peak & off peak electricity to both companies. E.ON switched the readings rounds & came up with an outstanding bill of almost £700 even though I’d been paying my bills by DD. They kept harassing me with texts & calls, then progressed to debt collectors letters. I was so stressed, I almost made an arrangement to pay what I didn’t owe! That’s how badly situations like this affects people. My new supplier So Energy were brilliant! They stuck to the readings I gave as I had photographic evidence and kept me informed on all the correspondence with E.ON. Then finally E.On accepted & said I now owed £88.00. Went to Ombudsman and though the process was quite lengthy, they were thorough & required E.On to apologise & cancel the £88.00 outstanding. I will say to anyone out there  if you have the slightest doubt about your bill please challenge it! Some of these big energy companies are bullies and they continue to rob so many people in bogus charges!","18 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, thank you for your review on our service.  We're happy we could help you with your complaint. Thanks."
"MB","https://uk.trustpilot.com/users/5e68e7bfdffcf7f7aa88ec7a","Mrs Bannister","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","18 Aug 2020","https://uk.trustpilot.com/reviews/5f3bb3e202e8570814f35a63","Thorough investigation and took all the stress away.","After moving house, British Gas landed us with a bill of thousands of pounds for apparently previously unpaid electricity usage which they said went back years.  When I tried to deal with them directly, I was given contradictory information, and a refusal to apply the legal Back Billing Principle.  Contacting the Ombudsmen was brilliant in terms of reducing the stress involved when having to try and deal with a company like this directly.  The communication was brilliant and the investigation very thorough and fair.","18 August 2020","Reply from Energy Ombudsman","24 Aug 2020","Hello, thank you for your review on our service. We're happy we could help you resolve your complaint. Thanks."
"JO","https://uk.trustpilot.com/users/560c12270000ff0001dfa45b","joanne","16 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","18 Aug 2020","https://uk.trustpilot.com/reviews/5f3b8f3202e8570814f33965","Really helpful service","Really helpful service, would recommend.  Dealt with case very effectively and even got me a 50 pound goodwill gesture from my supplier which was unexpected!","18 August 2020","Reply from Energy Ombudsman","18 Aug 2020","Hello Joanne, thanks very much for your review on our service, we're happy we could help you resolve your complaint. Thanks."
"MB","https://uk.trustpilot.com/users/5d8f3dfa35c3dfc640733439","Mr B","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","15 Aug 2020","https://uk.trustpilot.com/reviews/5f37b15d9cc22a073c9835db","Ombudsman resolved problem with Scottish Power","After many many calls to Scottish Power and over a year of trying to resolve a complaint, I was getting nowhere. Passed to numerous departments, explaining my issue time and time again, thinking I might be getting somewhere then my case would be passed on to a new person and back to the start. Even when escalated to SPs Directors team, painfully slow progress. Then I contacted the Ombudsman and SP finally took notice, with my case quickly resolved. Don’t mess around with energy companies rubbish customer service, don’t bother with their front line people, escalate via twitter or their Directors teams and if no resolution after 8 weeks, go straight to the ombudsman.","15 August 2020","Reply from Energy Ombudsman","17 Aug 2020","Hello, thank you for your review on our service.  We're glad we could help you  fairly resolve your complaint. Thanks."
"RO","https://uk.trustpilot.com/users/4ede6bbe00006400010fa337","Robert","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 Aug 2020","https://uk.trustpilot.com/reviews/5f35872e9cc22a0600cb382a","Once again I am asked to provide…","Once again I am asked to provide feedback. I have said this before when you ""resolved"" my last case; until you act in a transparent and open way, explain why compensation is ""reasonable"" despite multinational foreign owned monopolies your credibility will be zero. How you can admit a company has acted in an almost criminal manner in the way they have tried to collect money which was not owned, then hide behind the phrase ""the way we decide compensation is reasonable is industry sensitive information"" is a disgrace. It shows you are essentially in bed with these companies. Please do not tell me I can appeal, the basis of my appeal would be to argue your definition of ""Reasonable compensation"" and you refuse to be transparent about this. I will advise anyone thinking of using this quango to consider the cost in time against the fact they are more than likely to side with the industry (their paymasters).","13 August 2020","Reply from Energy Ombudsman","17 Aug 2020","Hello, we're sorry you are unhappy with our service. We base our decision on the evidence submitted by both sides. You can leave us feedback on your experience with us via our website: https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"DE","https://uk.trustpilot.com/users/5d938556dc4e93257cd53ace","David Evans","3 reviews","ES","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","13 Aug 2020","https://uk.trustpilot.com/reviews/5f35711f9cc22a073c971184","Overpayment refund from British Gas","I discovered a cheque from British Gas amongst some old mail. The cheque was a refund for over payment for a discontinued service. I presented the cheque at my bank but they would not cash it due to its age. The bank asked me to obtain a replacement from British Gas. There was a period of negotiation with several customer service agents at British Gas, without any satisfactory resolution, before the matter was presented to the ombudsman. The action taken by the Ombudsman and a helpful customer service agent at British Gas resulted in the full refund that I sought.","13 August 2020","Reply from Energy Ombudsman","17 Aug 2020","Hello, thanks for your review. We're glad we could help you with your case. Thanks."
"CU","https://uk.trustpilot.com/users/552cf4950000ff0001b83387","Customer","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","12 Aug 2020","https://uk.trustpilot.com/reviews/5f33fe9f1a5a690788a78545","I had major issues with two energy…","I had major issues with two energy companies when it came to switching from one to the other - both companies blamed each other about the handling of meter readings. This left me out of pocket for months but when the Ombudsman got involved they miraculously became super helpful! Thanks Ombudsman!","12 August 2020","Reply from Energy Ombudsman","17 Aug 2020","Hello, thank you for your review on our service. We're  glad we could help resolve your complaint. Thanks."
"SA","https://uk.trustpilot.com/users/5f339193e98e171aab1939aa","Stephen Arthur","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 26 Aug 2020","https://uk.trustpilot.com/reviews/5f33919c1a5a690268483a2a","Disgraceful","Dear Ombudsman services, I issued you with a complaint that identified a clear disregard for neutrality and impartiality and asked you to respond.As you are unwilling to answer any of the questions that have been put to you, I am unable to accept your decisions or acknowledge your service in a professional capacity.If you are unhappy, you are free to try to resolve the matter by reviewing your standards and together with an apology, make sure that my case is properly investigated with an ongoing commitment to staff training.The idea that you base your decisions on the evidence submitted by both sides is not seen in your practice and your unwillingness to identify your codes and principles is alarming, as is your unwillingness to demonstrate transparency in your work.Simply pointing people to your website as a first line response is indicative of the lack of care and attention that you provide.Kind regardsStephen Arthurreply to ombudsman 26/8/2020""...we are an impartial service we go through our complaints in the order they were raised so each case is treated fairly"".Evidence has been provided to you that clearly demonstrates that your service is neither 'impartial' nor 'fair' and rather than honestly addressing these mistakes you have chosen to ignore them. ""As we are unable to access your case we would recommend contacting us to discuss your issue further"". You have been provided with numerous opportunities to demonstrate both accountability and transparency, yet have failed to do so on each and every occasion. When writing a report for Trustpilot, an opportunity is given to provide a case reference number. This was provided and it is available to you. As is my full name and email address. Despite having all of this information to hand, I'm sorry to learn that you have not been able to access my case.","12 August 2020","Reply from Energy Ombudsman","17 Aug 2020","Hello Stephen,  as we are an impartial service we go through our complaints in the order they were raised so each case is treated fairly.  As we are unable to access your case we would recommend contacting us to discuss your issue further. We have several contact avenues available on our website:  https://www.ombudsman-services.org/about-us/contact-us . Thanks."
"DM","https://uk.trustpilot.com/users/5d7f8fd8ab5050553d640b56","Dear Mrs Hodgkins","23 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","11 Aug 2020","https://uk.trustpilot.com/reviews/5f3272a81a5a690268477dd0","Very good service","I was very pleased with the service o got from the ombudsmen and would definitely recommend","11 August 2020","Reply from Energy Ombudsman","17 Aug 2020","Hello, thank you for your review.  We're glad we could help you  resolve your complaint. Thanks."
"RL","https://uk.trustpilot.com/users/596756a90000ff000aaedf07","Rita Lenko","49 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","11 Aug 2020","https://uk.trustpilot.com/reviews/5f325a171a5a690788a64e75","Good start and then very disappointing!","I was initially very impressed with how my case against an Electricity provider was handled. My case officer published a thorough and detailed summary of my complaint, decided against the company and advised reasonable solutions. The company did initially deflect and ignored all but it appeared the obudsman's office persisted with reminders. After a telephone call from the company acknowledging that invoices were wrong, the ombudsman's office sent me a message that my case had been resolved and settled! No action taken by the electricity provider and my case is now closed!  Will make a new complaint and persue this, even it takes me years to get this sorted!","11 August 2020","Reply from Energy Ombudsman","13 Aug 2020","Hello, thank you for your review. We're sorry you have had a disappointing experience. We would welcome feedback from you to help us improve for the future: https://www.ombudsman-services.org/unhappy-with-our-service  Thanks."
"HK","https://uk.trustpilot.com/users/5bd770a04de5666d34c0ca9a","HK","98 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","10 Aug 2020","https://uk.trustpilot.com/reviews/5f3147e61a5a690788a5ab35","NO MORALS AT ALL","I can’t believe it. I had told these cowboys not to call me before 3pm and yet they don’t even read their own notes either. Sadly some one called Julie rang me to argue with me about the wrong decision they had made. They have no morals and sadly instead of trying of finding a solutions she rang me to argue and patronise me. It was a case of basically putting me down as she was clearly on a EGO trip. If only she was this passionate enough in sorting out complaints properly, there would not  be a 90% dissatisfaction rate. These people have no morals, no ethics. The only goal is money money and taking salaries funded by those culprits who they represent.  Don’t waste your time with these guys... you can only work with people who have morals yet these cowboys don’t have any. They will ask you for information and eventually they will tell you are at fault. This is case in 9 complaints out of 10.","10 August 2020","Reply from Energy Ombudsman","13 Aug 2020","Hello, thank you for your review on our service.  We can actually confirm that in 2018, we upheld 64% of energy complaints in 2018, meaning we found in favour of the consumer in nearly two out of three cases. However if you are unhappy with our service you can leave us feedback on your experience via our website:  https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"AB","https://uk.trustpilot.com/users/5e81e88087efaccda3d0c9bc","Abdul","13 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","8 Aug 2020","https://uk.trustpilot.com/reviews/5f2edb8b1a5a690788a4a81b","Dismissive","They are dismissive and not customer friendly. Even when I raised a complaint against them as advised by them to my last review,  they simply deflected and failed to take responsibility. This organization should be defunded as it is a complete waste of money.","08 August 2020","Reply from Energy Ombudsman","12 Aug 2020","Hello, we're sorry you are unhappy with our service. We base our decisions  on the evidence submitted by both parties. You can find out more information via our website:  https://www.ombudsman-services.org/ . Thanks."
"BM","https://uk.trustpilot.com/users/5f2d46a283e7ccb52f2d2c6d","Bill Med","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","7 Aug 2020","https://uk.trustpilot.com/reviews/5f2d46ba1a5a69026844ecfb","Excellent Service","I escalated my complaint against British Gas after the six week period and receiving a letter from BG saying they were not going to review my complaint.  Once passed the opening page in which the complaint was to be detailed, you find all the necessary tools to submit your claim including uploading evidence in the lots of formats including letters, photos and excel files.  It was simple to do.Within 48 hours my complaint was mostly dealt with and then the Ombudsman finalised the details and arranged for compensation to be paid.  Everything was dealt with by the Ombudsman in a very professional and timely way.This service has been very good for me.","07 August 2020","Reply from Energy Ombudsman","10 Aug 2020","Hello, thank you for your review on our service.  We're happy we could help you resolve your complaint. Thanks."
"DB","https://uk.trustpilot.com/users/5ed1ca26cd4c4fe5b6933b84","Dbg","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 7 Aug 2020","https://uk.trustpilot.com/reviews/5f2c95191a5a690bf4d89924","The energy ombudsmen is not fit for…","The energy ombudsmen is not fit for purpose they claim to be impartial yet always seem to favour the company no matter how much evidence you have and there offers of goodwill are a joke .No matter how bad the company your complaining about have treated you .My ? How can they be impartial when they are payed for by a fee (£334) they charge the energy company my recommendation avoid them save waisting 3+ mouths of your life Untold emails and calls . The only winners in the end are the Energy company and the ombudsman ( I have also filed a complaint about the Ombudsman service to them so hopefully they take on board feed back from consumers )","06 August 2020","Reply from Energy Ombudsman","10 Aug 2020","Hello, we're sorry you are unhappy with our service.  In the nature of dispute resolution there will unfortunately always be an unhappy party in the process. You can find out more information via our website: https://www.ombudsman-services.org/"
"MW","https://uk.trustpilot.com/users/5ca1e4f6776e6d3cfdf41087","Mandy w","50 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","6 Aug 2020","https://uk.trustpilot.com/reviews/5f2bc55f1a5a6907a47be686","Case CM038420-20","Case CM038420-20. Difficult Web site to navigate. Only 1 chance to put your case with no further communication. Felt they didn't even look at my case and came down in favour of the phone company. All in all a waste of time.","06 August 2020","","",""
"RK","https://uk.trustpilot.com/users/5a1ec75f0000ff000ae95d29","Richard Killingbeck","8 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","5 Aug 2020","https://uk.trustpilot.com/reviews/5f2b17821a5a6907a47ba378","Dreadful experience","Dreadful experience.  They decided against the company, but as I could prove my case clearly they had no real choice.  It felt totally biased in the Company's favour. They could do what they liked - including telling the Ombudsman things that were clearly untrue - and the Ombudsman did not even comment on this. I got a whole £100 compensation (and an utterly meaningless apology ) - it took 3 months and required me do send about 10 emails and 3 hours collecting the evidence. About 6 hours of my time in total.  Given the repeated and multiple delays and deceptions made by the Company I fail to understand how anyone gets much more from them.","05 August 2020","Reply from Energy Ombudsman","6 Aug 2020","Hello, we're sorry  you have had a bad experience.  If you are unhappy with our  service you can leave us feedback via our website:  https://www.ombudsman-services.org/unhappy-with-our-service . Thanks."
"TD","https://uk.trustpilot.com/users/5dc5b57149cde156084a282b","Tony Drury","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","5 Aug 2020","https://uk.trustpilot.com/reviews/5f2a73db1a5a6907a47b046c","Second time around…","This is the second time I have had occasion to use this service, both against power companies. In each case I have stated my case clearly, backed it up with evidence and advised both the companies and the Ombudsman Service what I expected. In both cases, I achieved my objectives quickly and in the first instance was awarded more!","05 August 2020","Reply from Energy Ombudsman","6 Aug 2020","Hello, thank you for your review. We're happy you had a positive experience using our service. Thanks."
"AL","https://uk.trustpilot.com/users/5de970bcae7758410db81127","Ali","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","4 Aug 2020","https://uk.trustpilot.com/reviews/5f2971191a5a6907a47a75c6","Don’t waste your time with these ones","Don’t waste your time with these ones. I went to them for help with a mobile phone company. Done all I was suppose to do was told the company had provided no evidence, then a decision was made which favoured the big company and all of a sudden there was evidence to the case from the company. Totally one sided and absolutely no help whatsoever to the measley little consumer who genuinely needs the help. The decision made was the company HAD done wrong but they could still mark my credit rating for 6 years and I would get a letter of apology!!","04 August 2020","","",""
"","https://uk.trustpilot.com/users/5527e8560000ff0001b77197","Scat Mann","28 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","3 Aug 2020","https://uk.trustpilot.com/reviews/5f28584a1a5a6907a479c5f0","So far, so NOT impressed...","I'm about to bring a matter to the Ombudsman about another nasty, awful energy company based in Scotland. However, I'm rather disheartened by the vast number of negative reviews others have posted here about the Ombudsman (89%). Worse still, I'm unimpressed with the 'copy and paste', bog standard replies by Ombudsman staff. That actually validates the negative comments by frustrated customers and smirks of an I-don't-care-a-hoot frivolity. 89% poor/bad isn't the sort of rating to be smug or frivolous about! I gave two stars because of the 9% who claim to have had positive outcomes. There has to be a consistent level of service, not a lucky dip in terms whether you draw a motivated complaint agent or jerk.","03 August 2020","Reply from Energy Ombudsman","4 Aug 2020","Hello, we notice you have left a review without using our service. We would recommend giving us a try before  reviewing us. Thanks."
"RA","https://uk.trustpilot.com/users/56658d840000ff0001f0f982","Raluca","10 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","2 Aug 2020","https://uk.trustpilot.com/reviews/5f268f5d1a5a6907a478c1e3","they didn't want to help me","they didn't want to help me. They continue allowing a scamming company charging me £6 per month from my phone contract for a service which I haven't subscribed too and tried cancelling various times. Unacceptable","02 August 2020","","",""
